Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-01-17,11.0,10.304,10.6415,10.699,10.583,10.7,3814.18383278
2017-01-18,15.7,10.5,12.311,12.364,12.26,12.362,13845.71741225
2017-01-19,12.7,11.6,12.0135,12.031,11.887,12.14,1678.39590971
2017-01-20,12.351,11.601,12.177,12.072,12.143,12.211,1095.55820761
2017-01-21,12.144,11.8,11.9195,11.94,11.866,11.973,3249.63470012
2017-01-22,12.274,11.874,12.115,12.1,12.09,12.14,6994.49210208
2017-01-23,12.21,11.712,12.105,12.159,12.05,12.16,7749.51451549
2017-01-24,12.251,12.0,12.1045,12.121,12.083,12.126,638.00092932
2017-01-25,12.21,11.671,11.753,11.794,11.71,11.796,16619.36268205
2017-01-26,11.905,11.342,11.747,11.764,11.713,11.781,4765.92982631
2017-01-27,12.147,11.621,11.9485,11.855,11.909,11.988,773.7397108
2017-01-28,12.19,11.569,12.069,12.19,12.041,12.097,4245.7677597
2017-01-29,13.079,12.2,12.806,12.9,12.766,12.846,18700.59397846
2017-01-30,13.195,12.473,12.6055,12.6,12.6,12.611,3198.93660405
2017-01-31,12.842,12.437,12.6725,12.686,12.653,12.692,2318.23658407
2017-02-01,13.226,12.653,12.932,12.973,12.903,12.961,6325.86797149
2017-02-02,13.2,12.845,13.1445,13.2,13.089,13.2,6493.93134333
2017-02-03,13.399,13.068,13.062,13.18,13.024,13.1,9499.92278671
2017-02-04,13.109,12.011,12.6415,12.697,12.586,12.697,5495.28853856
2017-02-05,13.0,12.3,12.497,12.551,12.48,12.514,3670.45741159
2017-02-06,12.89,12.55,12.5625,12.55,12.5,12.625,1464.55217223
2017-02-07,12.73,12.35,12.653,12.7,12.594,12.712,1245.54062784
2017-02-08,13.069,12.45,12.549,12.604,12.49,12.608,4264.78876281
2017-02-09,12.779,12.3,12.658,12.629,12.628,12.688,3322.7469456
2017-02-10,12.83,11.71,12.023,11.802,11.947,12.099,4097.5129369
2017-02-11,12.182,11.855,12.059,12.108,12.019,12.099,6189.88197594
2017-02-12,12.322,12.085,12.2125,12.253,12.172,12.253,804.91653038
2017-02-13,12.368,12.157,12.251,12.276,12.193,12.309,703.24447542
2017-02-14,12.387,12.118,12.247,12.265,12.204,12.29,853.10964037
2017-02-15,13.255,12.142,13.06,13.085,13.02,13.1,4388.75857555
2017-02-16,13.848,12.939,13.5975,13.6,13.595,13.6,6706.07653804
2017-02-17,13.6,12.93,13.1745,13.206,13.129,13.22,7143.7366719
2017-02-18,13.471,13.122,13.4365,13.471,13.388,13.485,1067.48046297
2017-02-19,13.696,13.2,13.408,13.37,13.358,13.458,2876.96803121
2017-02-20,13.45,13.1,13.103,13.1,13.071,13.135,513.3914789
2017-02-21,13.05,11.481,12.256,12.301,12.143,12.369,13163.64552313
2017-02-22,12.551,12.01,12.462,12.519,12.414,12.51,6472.26057765
2017-02-23,12.96,12.2,12.8425,12.84,12.771,12.914,3074.07785049
2017-02-24,13.1,12.71,12.97,12.953,12.89,13.05,3638.57515322
2017-02-25,13.14,11.61,12.026,12.085,11.991,12.061,28730.58790496
2017-02-26,12.25,11.761,11.918,11.849,11.888,11.948,4050.21551891
2017-02-27,12.21,11.771,12.0425,11.96,11.983,12.102,2068.6305833
2017-02-28,12.228,11.99,12.0825,12.037,12.045,12.12,2878.36196503
2017-03-01,12.374,11.65,12.326,12.358,12.302,12.35,10141.52307584
2017-03-02,13.02,12.1,12.391,12.451,12.35,12.432,37005.49727112
2017-03-03,13.471,12.17,13.1585,13.114,13.121,13.196,10238.20347424
2017-03-04,14.688,12.9,14.0055,14.054,13.952,14.059,27440.61973596
2017-03-05,14.3,13.27,13.7255,13.68,13.692,13.759,6759.03254607
2017-03-06,15.748,13.762,15.355,15.251,15.284,15.426,6136.84780419
2017-03-07,15.866,14.92,15.4535,15.4,15.425,15.482,5682.77576109
2017-03-08,15.4,13.584,13.653,13.65,13.63,13.676,7770.8693141
2017-03-09,13.798,12.51,12.5135,12.51,12.5,12.527,6170.17764316
2017-03-10,13.684,12.4,13.036,13.045,13.025,13.047,9367.86453652
2017-03-11,13.54,12.25,13.0895,13.19,12.999,13.18,23600.16936015
2017-03-12,14.7,12.946,14.6395,14.7,14.614,14.665,10776.62065489
2017-03-13,19.357,16.633,18.441,18.386,18.334,18.548,18022.98268025
2017-03-14,18.499,17.132,17.8145,17.735,17.735,17.894,18458.76696705
2017-03-20,24.465,22.46,24.029,24.031,24.027,24.031,12984.42529161
2017-03-21,22.961,20.662,21.429,21.4,21.391,21.467,47918.73006772
2017-03-22,22.247,20.196,21.005,20.83,20.915,21.095,27395.88467141
2017-03-23,22.452,20.5,21.9905,22.0,21.907,22.074,11313.83682363
2017-03-24,23.9,20.66,21.5755,21.57,21.468,21.683,32391.69878029
2017-03-25,22.0,19.7,20.1915,20.167,20.069,20.314,26471.78298203
2017-03-26,20.746,19.1,19.308,19.3,19.224,19.392,14347.19165697
2017-03-27,19.999,17.9,17.9385,17.9,17.9,17.977,17716.28315495
2017-03-28,20.21,17.5,19.53,19.547,19.507,19.553,24535.44301311
2017-03-29,20.6,19.175,20.4415,20.429,20.386,20.497,12704.92493643
2017-03-30,21.369,19.807,19.975,20.055,19.888,20.062,18306.15901623
2017-03-31,20.775,19.435,19.799,19.81,19.712,19.886,17969.9407317
2017-04-01,21.011,19.001,20.9655,21.0,20.931,21.0,16140.41974772
2017-04-02,21.5,19.809,19.939,19.981,19.887,19.991,18004.97903993
2017-04-03,21.011,19.5,20.0345,20.042,19.969,20.1,13721.39599333
2017-04-04,20.8,19.761,20.3605,20.204,20.291,20.43,11563.1861837
2017-04-05,20.52,19.695,19.761,19.695,19.697,19.825,15806.90073236
2017-04-06,20.211,18.59,19.1735,19.161,19.1,19.247,25306.39615923
2017-04-07,20.344,19.102,19.7265,19.694,19.65,19.803,6709.78129465
2017-04-08,21.556,19.417,20.9185,20.988,20.9,20.937,9587.56408631
2017-04-09,21.509,19.97,21.3495,21.4,21.299,21.4,10655.85249647
2017-04-10,22.8,21.061,22.1415,22.0,22.0,22.283,16397.31867841
2017-04-11,22.516,21.537,21.987,22.0,21.974,22.0,8513.21965931
2017-04-12,22.71,21.561,22.4615,22.485,22.428,22.495,11019.19955974
2017-04-13,22.487,21.534,21.886,21.922,21.813,21.959,9526.05752544
2017-04-14,22.293,20.04,21.2395,21.248,21.229,21.25,17148.317482
2017-04-15,21.5,20.84,21.066,20.982,21.007,21.125,13861.18035998
2017-04-16,21.107,20.642,20.8735,20.8,20.801,20.946,6151.34893384
2017-04-17,22.0,20.8,21.243,21.35,21.119,21.367,23275.33101668
2017-04-18,21.992,21.017,21.937,21.9,21.9,21.974,11484.49490188
2017-04-19,21.974,21.161,21.45,21.498,21.4,21.5,10317.21120911
2017-04-20,22.0,21.16,21.611,21.55,21.55,21.672,9077.1084633
2017-04-21,21.789,20.8,21.6595,21.736,21.581,21.738,29336.70416819
2017-04-22,21.984,21.332,21.7495,21.717,21.679,21.82,11796.44718781
2017-04-23,22.01,21.519,21.872,21.94,21.793,21.951,14267.31715718
2017-04-24,22.05,21.05,21.174,21.15,21.152,21.196,17156.42214144
2017-04-25,21.804,21.05,21.1485,21.071,21.073,21.224,3911.29793868
2017-04-26,21.63,20.402,21.102,21.073,21.073,21.131,16078.20688679
2017-04-27,23.846,21.014,23.3415,23.502,23.232,23.451,66127.4542631
2017-04-28,24.2,22.805,23.8655,23.788,23.791,23.94,48125.42520813
2017-04-29,25.018,23.75,24.7925,24.884,24.705,24.88,22871.33798579
2017-04-30,26.312,24.5,25.2565,25.19,25.213,25.3,33393.66145905
2017-05-01,25.8,23.651,24.036,23.89,23.916,24.156,42197.14013251
2017-05-02,25.08,23.89,24.5805,24.428,24.464,24.697,20121.97211836
2017-05-03,27.537,24.429,26.8745,26.9,26.849,26.9,35835.86706362
2017-05-04,27.96,25.403,26.694,26.728,26.509,26.879,60635.55575022
2017-05-05,31.44,24.9,28.953,28.95,28.95,28.956,76169.7006248
2017-05-06,30.4,27.501,29.435,29.482,29.37,29.5,24867.00841362
2017-05-07,35.447,28.639,33.1925,33.383,33.005,33.38,60078.24550493
2017-05-08,35.9,29.064,30.391,30.265,30.265,30.517,70290.59865188
2017-05-09,31.478,26.666,29.0965,29.124,28.984,29.209,36604.77623957
2017-05-10,31.498,28.012,30.0885,30.003,30.003,30.174,21908.51280193
2017-05-11,30.689,29.336,30.1275,30.012,29.977,30.278,16211.01378776
2017-05-12,30.8,29.007,29.89,29.939,29.862,29.918,10558.10434231
2017-05-13,29.862,27.826,29.0995,29.188,29.0,29.199,13785.66029472
2017-05-14,29.696,28.073,28.696,28.673,28.59,28.802,3155.4414056
2017-05-15,29.037,27.779,28.69,28.495,28.586,28.794,7537.28645398
2017-05-16,28.514,26.718,26.7055,26.718,26.592,26.819,6118.25452527
2017-05-17,28.673,26.0,27.895,27.764,27.81,27.98,6933.58915251
2017-05-18,31.812,27.632,31.2875,31.189,31.208,31.367,24344.78553286
2017-05-19,32.473,30.79,31.618,31.498,31.5,31.736,14174.25234385
2017-05-20,37.45,31.273,35.544,35.342,35.342,35.746,40147.60831746
2017-05-21,36.528,32.472,34.247,34.14,34.158,34.336,27865.91664198
2017-05-22,40.877,33.002,34.8935,34.889,34.579,35.208,62101.38291974
2017-05-23,54.747,34.579,53.3255,53.326,53.325,53.326,42135.79696205
2017-05-24,58.485,40.68,44.9975,44.548,44.548,45.447,69015.00846178
2017-05-25,49.0,40.066,42.756,42.152,42.375,43.137,58035.35833525
2017-05-26,42.999,34.451,36.4085,36.384,35.651,37.166,38973.53788055
2017-05-27,39.455,27.527,32.1275,32.098,31.855,32.4,50678.17673775
2017-05-28,38.0,31.764,34.6535,34.8,34.333,34.974,17169.39264039
2017-05-29,43.0,34.037,40.453,40.51,40.396,40.51,28173.06293057
2017-05-30,45.0,38.702,39.428,39.577,39.284,39.572,31891.82241032
2017-05-31,42.272,37.038,40.5975,40.544,40.543,40.652,24979.6507153
2017-06-01,44.398,40.01,42.257,42.295,42.213,42.301,12298.0915359
2017-06-02,43.137,41.084,42.6005,42.654,42.546,42.655,6947.00417392
2017-06-03,43.212,41.3,41.834,41.879,41.656,42.012,4936.5608971
2017-06-04,42.769,40.5,42.0145,41.948,41.969,42.06,14104.04345283
2017-06-05,47.541,41.971,47.249,47.422,46.961,47.537,26380.31041703
2017-06-06,52.17,45.128,52.185,52.17,52.17,52.2,42207.34004022
2017-06-07,61.638,51.5,52.5875,52.241,52.316,52.859,73738.49681851
2017-06-08,56.0,50.305,55.797,55.766,55.605,55.989,20241.14747099
2017-06-09,57.1,54.961,55.463,55.585,55.275,55.651,11013.56557964
2017-06-10,56.101,50.51,51.198,51.0,51.0,51.396,19189.39270651
2017-06-11,57.799,50.6,57.369,57.524,57.214,57.524,28870.48621328
2017-06-12,59.43,16.0,48.81,48.821,48.3,49.32,110921.6473942
2017-06-13,52.5,48.041,51.4065,51.763,51.263,51.55,19338.30930238
2017-06-14,52.519,43.0,44.2305,44.41,44.015,44.446,30585.36723473
2017-06-15,46.206,37.406,45.377,45.4,45.254,45.5,22518.85315413
2017-06-16,47.6,43.213,46.9515,47.403,46.717,47.186,8784.51585376
2017-06-17,52.4,46.032,51.6135,51.815,51.416,51.811,13348.3332185
2017-06-18,53.549,47.679,49.279,49.063,49.077,49.481,13125.18134177
2017-06-19,51.459,49.0,50.608,50.636,50.469,50.747,5702.21029935
2017-06-20,53.285,50.254,51.907,52.272,51.577,52.237,10528.50208066
2017-06-21,52.44,46.419,47.431,47.3,47.3,47.562,12938.1304408
2017-06-22,50.4,47.2,50.119,49.976,50.038,50.2,4659.49797731
2017-06-23,52.0,49.491,51.478,51.562,51.336,51.62,5433.77455262
2017-06-24,51.501,46.0,46.8565,46.754,46.754,46.959,10403.64702366
2017-06-25,47.901,42.596,44.3235,44.393,44.15,44.497,14880.61347585
2017-06-26,46.809,38.501,42.5125,42.75,42.275,42.75,20685.36867993
2017-06-27,44.0,36.61,43.092,43.0,42.922,43.262,20389.97227237
2017-06-28,46.638,41.4,46.344,46.493,46.111,46.577,9968.03380044
2017-06-29,47.265,43.291,44.508,45.005,44.346,44.67,10911.43815498
2017-06-30,45.126,43.001,43.21,43.001,43.0,43.42,5475.55838571
2017-07-01,43.487,38.665,39.735,39.73,39.733,39.737,12828.19869605
2017-07-02,42.281,39.266,41.86,41.721,41.718,42.002,4948.44279407
2017-07-03,44.186,41.024,43.6935,44.184,43.445,43.942,10229.91676761
2017-07-04,45.646,43.362,44.939,44.556,44.726,45.152,9596.58834658
2017-07-05,46.5,44.183,45.881,45.747,45.747,46.015,8808.52092639
2017-07-06,50.226,45.65,49.582,49.351,49.388,49.776,18648.4915769
2017-07-07,50.52,43.779,44.1075,44.093,43.965,44.25,20161.14491762
